Country of birth,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Burundi,320,257,255,1505,841,593,535,260,273,351
Cambodia,5773,4246,3713,3771,2986,2745,2473,2624,2536,1868
Cameroon,2919,3392,3771,3463,4161,4754,3815,3908,3943,4374
Canada,18207,15495,15109,16140,13328,12800,12932,13181,11586,12673
Cape Verde,1780,2048,1916,2238,1668,1808,1684,1673,1154,1253
Cayman Islands,65,40,37,45,52,41,44,44,48,53
Central African Republic,51,52,88,107,101,134,116,213,155,234
Chad,73,74,96,102,120,171,155,111,119,175
Chile,2774,2274,2017,2250,1950,1853,1673,1736,1581,1596
"China, People's Republic",87307,76655,80271,64238,70863,87016,81784,71798,76089,74558
Colombia,43144,33187,30213,27849,22406,22635,20931,21131,18175,17316
Comoros,7,7,D,D,4,8,10,D,9,5
"Congo, Democratic Republic",738,1129,1261,2122,1764,2424,3731,2792,4347,5345
"Congo, Republic",1600,972,950,1563,968,1371,1461,1059,552,496
Costa Rica,3109,2540,2090,2384,2164,2135,2020,2114,1966,2029
Cote d'Ivoire,2067,1193,1645,2159,1621,1302,1760,1486,1477,1497
Croatia,945,482,455,496,357,349,336,353,297,348
Cuba,45614,29104,49500,38954,33573,36452,32820,32219,46679,54396
Curacao,X,X,X,X,X,-,-,-,27,22
Cyprus,180,137,141,142,122,101,107,126,129,113
Czech Republic,344,287,227,146,190,303,677,676,606,637
Czechoslovakia,1442,927,862,865,750,466,159,74,74,58
Denmark,699,517,498,603,518,459,459,506,514,609
Djibouti,34,23,39,54,37,56,106,90,190,370
Dominica,471,428,454,484,366,287,125,244,345,229
Dominican Republic,38068,28024,31879,49414,53870,46109,41566,41311,44577,50610
Ecuador,17489,12248,11663,12128,11492,11103,9342,10591,10960,10187
Egypt,10500,9267,8712,8844,8978,7778,8988,10294,11477,12085
El Salvador,31782,21127,19659,19909,18806,18667,16256,18260,19273,19487
Equatorial Guinea,13,4,16,32,12,13,20,18,15,25
Eritrea,1593,1081,1270,1928,1656,2102,2643,2138,2002,2220
Estonia,423,368,287,282,260,191,227,211,220,189
Ethiopia,16152,12786,12917,15462,14266,13793,14544,13097,12300,11394
Fiji,2115,1637,1176,1194,1201,1041,853,895,802,875
Finland,542,426,302,423,397,363,348,331,350,407
France,4357,3494,4935,4569,3919,3653,3862,4425,4284,4693
French Polynesia,37,27,26,30,16,21,30,-,24,14
Gabon,85,95,82,171,138,204,197,127,167,146
Gambia,897,826,739,978,859,972,1159,1018,1111,1142
Georgia,2003,1554,1620,1578,1518,1490,1341,1368,1240,1410
Germany,8436,7582,7091,7583,6888,6125,5812,6032,5584,5436
Ghana,9367,7610,8195,8401,7429,8798,10592,10265,7115,6186
Greece,1124,882,769,798,745,949,1054,1361,1235,1211
Grenada,1068,751,784,748,664,579,671,687,633,525
Guatemala,24133,17908,16182,12187,10467,11092,10341,10224,10238,11773
Guinea,1110,1088,1735,1725,1379,1555,1656,1518,1375,1389
Guinea-Bissau,25,25,17,20,30,29,47,43,30,39
Guyana,9552,5726,6823,6670,6749,6599,5683,5897,6267,5543
Haiti,22226,30405,26007,24280,22582,22111,22818,20351,15274,16967
Honduras,8177,7646,6540,6404,6448,6133,6884,8898,8156,9274
Hong Kong,3256,3527,3373,2651,2432,2306,2104,2226,2278,2085
Hungary,1704,1266,1127,1314,1022,1044,1054,1052,996,1095
Iceland,145,95,122,131,105,90,103,139,86,104
India,61369,65353,63352,57304,69162,69013,66434,68458,77908,64116
Indonesia,4868,3716,3606,3679,3032,2856,2603,2731,2139,2084
Iran,13947,10460,13852,18553,14182,14822,12916,12863,11615,13114
Iraq,4337,3765,4795,12110,19855,21133,20369,9552,19153,21107
Ireland,1906,1503,1465,1637,1507,1371,1514,1626,1605,1607
Israel,5943,4496,5851,5612,4515,3826,4153,3996,3805,3965
Italy,3215,2569,2514,2892,2579,2443,2673,2960,3298,3544
Jamaica,24976,19375,18477,21783,19825,19662,20705,19400,19026,17642
Japan,8265,6748,6821,7690,6264,6161,6061,5925,5545,5395
Jordan,4038,3917,3936,4282,3868,3876,4099,4188,5187,4664
Kazakhstan,2073,1604,1630,1562,1282,1235,1202,1241,1221,1201
Kenya,8779,7030,6998,9880,7421,7762,7043,6123,5884,5602
Kiribati,8,10,4,10,6,D,6,3,6,D
