INCIDENT NUMBER,OFFENSE CODE,OFFENSE CODE GROUP,OFFENSE DESCRIPTION,DISTRICT,REPORTING AREA,SHOOTING,OCCURRED ON DATE,Hour,YEAR,MONTH,DAY OF WEEK,UCR PART,STREET,LAT,LONG,Location
I162043217,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,A7,16,Y,06/02/2016 12:41:00 AM,0,2016,6,Thursday,Part One,CONDOR ST,42.38257493,-71.03026362,"(42.38257493, -71.03026362)"
I162052738,01402,Vandalism,VANDALISM,B2,288,,07/03/2016 11:17:00 AM,11,2016,7,Sunday,Part Two,ROXBURY ST,42.32952036,-71.08530641,"(42.32952036, -71.08530641)"
I162039366,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,305,,05/19/2016 01:40:00 AM,1,2016,5,Thursday,Part Two,WALNUT AVE,42.32101261,-71.08587919,"(42.32101261, -71.08587919)"
I162080429,01402,Vandalism,VANDALISM,E18,493,,10/01/2016 03:16:00 PM,15,2016,10,Saturday,Part Two,HUNTINGTON AVE,42.26169686,-71.11387342,"(42.26169686, -71.11387342)"
I162017547,00301,Robbery,ROBBERY - STREET,D4,619,,03/05/2016 09:20:00 PM,21,2016,3,Saturday,Part One,WESTLAND AVE,42.34355868,-71.08734146,"(42.34355868, -71.08734146)"
I162029478,00423,Aggravated Assault,ASSAULT - AGGRAVATED,D4,273,,04/15/2016 07:30:00 PM,19,2016,4,Friday,Part One,WASHINGTON ST,42.33621941,-71.07733761,"(42.33621941, -71.07733761)"
I162062885,01415,Vandalism,GRAFFITI,B3,450,,08/05/2016 07:27:00 PM,19,2016,8,Friday,Part Two,SOUTHERN AVE,42.29067097,-71.07303644,"(42.29067097, -71.07303644)"
I162056207,01402,Vandalism,VANDALISM,C6,200,,07/15/2016 01:41:00 AM,1,2016,7,Friday,Part Two,W BROADWAY,42.34162923,-71.05520447,"(42.34162923, -71.05520447)"
I162059990,00423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,260,,07/27/2016 12:20:00 PM,12,2016,7,Wednesday,Part One,WOODFORD ST,42.31836105,-71.07106326,"(42.31836105, -71.07106326)"
I162025160,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),E13,303,,04/01/2016 09:28:00 AM,9,2016,4,Friday,Other,AMORY ST,42.32133813,-71.09924423,"(42.32133813, -71.09924423)"
I162068582,00724,Auto Theft,AUTO THEFT,B3,428,,08/23/2016 11:26:00 PM,23,2016,8,Tuesday,Part One,WOOLSON ST,42.28121227,-71.08941724,"(42.28121227, -71.08941724)"
I162045802,01402,Vandalism,VANDALISM,E13,508,,06/10/2016 11:40:00 AM,11,2016,6,Friday,Part Two,HYDE PARK AVE,42.290892,-71.1180615,"(42.290892, -71.1180615)"
I162046839,01402,Vandalism,VANDALISM,A7,942,,06/13/2016 08:17:00 PM,20,2016,6,Monday,Part Two,FAYWOOD AVE,42.39214603,-71.00893922,"(42.39214603, -71.00893922)"
I162000079,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,373,,01/01/2016 03:13:00 AM,3,2016,1,Friday,Part Two,WILLIAM T MORRISSEY BLVD,42.29258323,-71.04776198,"(42.29258323, -71.04776198)"
I162018220,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,,,03/08/2016 12:55:00 PM,12,2016,3,Tuesday,Part Two,,42.35547514,-71.06051814,"(42.35547514, -71.06051814)"
I162061637,01711,Indecent Assault,OPEN & GROSS LEWDNESS,D4,627,,08/01/2016 06:06:00 PM,18,2016,8,Monday,Part Two,BOYLSTON ST,42.34442266,-71.09833083,"(42.34442266, -71.09833083)"
I162001434,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),C11,357,,01/06/2016 09:08:00 AM,9,2016,1,Wednesday,Other,WESTVILLE ST,42.30053216,-71.06925877,"(42.30053216, -71.06925877)"
I162014707,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,336,,02/24/2016 06:10:00 PM,18,2016,2,Wednesday,Part Two,NORTON ST,42.30626521,-71.06864556,"(42.30626521, -71.06864556)"
I162015826,01402,Vandalism,VANDALISM,A1,70,,02/28/2016 01:43:00 PM,13,2016,2,Sunday,Part Two,SPRUCE ST,42.35703896,-71.06778148,"(42.35703896, -71.06778148)"
I162008363,00301,Robbery,ROBBERY - STREET,B2,282,,01/31/2016 04:00:00 PM,16,2016,1,Sunday,Part One,WARREN ST,42.32832226,-71.08321495,"(42.32832226, -71.08321495)"
I162019544,00724,Auto Theft,AUTO THEFT,B3,430,,03/13/2016 03:39:00 AM,3,2016,3,Sunday,Part One,,,,"(0E-8, 0E-8)"
I162078548,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,E13,307,,09/25/2016 03:04:00 PM,15,2016,9,Sunday,Part Two,WASHINGTON ST,42.31584636,-71.09824825,"(42.31584636, -71.09824825)"
I162018141,00351,Robbery,ROBBERY - BANK,C11,389,,03/08/2016 08:39:00 AM,8,2016,3,Tuesday,Part One,GALLIVAN BLVD,42.2825682,-71.05636435,"(42.2825682, -71.05636435)"
I162021374,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A7,26,,03/19/2016 08:25:00 AM,8,2016,3,Saturday,Part Two,BORDER ST,42.38093345,-71.04023929,"(42.38093345, -71.04023929)"
I162026526,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,102,,04/06/2016 11:23:00 AM,11,2016,4,Wednesday,Part Two,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)"
I162009547,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,418,,02/04/2016 05:14:00 PM,17,2016,2,Thursday,Part Two,NELSON ST,42.28160055,-71.0821994,"(42.28160055, -71.0821994)"
I162056122,01402,Vandalism,VANDALISM,D4,153,,07/14/2016 07:52:00 PM,19,2016,7,Thursday,Part Two,DARTMOUTH ST,42.34373406,-71.0741916,"(42.34373406, -71.0741916)"
I162014385,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,806,,02/23/2016 02:18:00 PM,14,2016,2,Tuesday,Part Two,RICHARDSON ST,42.36127607,-71.14345725,"(42.36127607, -71.14345725)"
I162008302,01402,Vandalism,VANDALISM,A1,116,,01/31/2016 01:50:00 PM,13,2016,1,Sunday,Part Two,LINCOLN ST,42.35131763,-71.05838367,"(42.35131763, -71.05838367)"
I162032647,01415,Vandalism,GRAFFITI,B2,183,,04/27/2016 12:01:00 AM,0,2016,4,Wednesday,Part Two,DUDLEY ST,42.31987076,-71.07096263,"(42.31987076, -71.07096263)"
I162039424,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,936,,05/20/2016 03:20:00 PM,15,2016,5,Friday,Part Two,CROWLEY-ROGERS WAY,42.33941146,-71.05371462,"(42.33941146, -71.05371462)"
I162018221,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B3,565,,03/08/2016 12:10:00 PM,12,2016,3,Tuesday,Part One,SENATOR BOLLING CIR,42.28913147,-71.09293028,"(42.28913147, -71.09293028)"
I162071402,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,169,,09/01/2016 10:15:00 PM,22,2016,9,Thursday,Part Two,E NEWTON ST,42.3367113,-71.07102057,"(42.3367113, -71.07102057)"
I162041434,01402,Vandalism,VANDALISM,C11,403,,05/25/2016 11:00:00 PM,23,2016,5,Wednesday,Part Two,ALICIA RD,42.28028554,-71.06834156,"(42.28028554, -71.06834156)"
