INCIDENT NUMBER,OFFENSE CODE,OFFENSE CODE GROUP,OFFENSE DESCRIPTION,DISTRICT,REPORTING AREA,SHOOTING,OCCURRED ON DATE,Hour,YEAR,MONTH,DAY OF WEEK,UCR PART,STREET,LAT,LONG,Location
I162070944,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,441,,08/31/2016 05:44:00 PM,17,2016,8,Wednesday,Part One,NIGHTINGALE ST,42.29474312,-71.08503786,"(42.29474312, -71.08503786)"
I162013208,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,766,,02/17/2016 04:00:00 PM,16,2016,2,Wednesday,Part One,CRESTHILL RD,42.35598557,-71.15825105,"(42.35598557, -71.15825105)"
I162032397,00613,Larceny,LARCENY SHOPLIFTING,B2,257,,04/26/2016 02:33:00 PM,14,2016,4,Tuesday,Part One,COLUMBIA RD,42.315969,-71.066253,"(42.315969, -71.066253)"
I162081219,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,188,,10/02/2016 08:00:00 PM,20,2016,10,Sunday,Part One,MOUNT VERNON ST,42.32231617,-71.05873107,"(42.32231617, -71.05873107)"
I162028943,00615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,C11,254,,04/12/2016 12:00:00 PM,12,2016,4,Tuesday,Part One,AUCKLAND ST,42.31049858,-71.05675537,"(42.31049858, -71.05675537)"
I162013270,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,336,,02/19/2016 01:41:00 PM,13,2016,2,Friday,Part One,COLUMBIA RD,42.31007897,-71.07228855,"(42.31007897, -71.07228855)"
I162045074,00724,Auto Theft,AUTO THEFT,D14,,,06/08/2016 07:49:10 AM,7,2016,6,Wednesday,Part One,,,,"(0E-8, 0E-8)"
I162029401,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,E13,571,,04/15/2016 10:51:00 PM,22,2016,4,Friday,Part One,MONTEBELLO RD,42.31176766,-71.09971564,"(42.31176766, -71.09971564)"
I162074069,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,769,,09/11/2016 09:59:00 AM,9,2016,9,Sunday,Part One,FANEUIL ST,42.3557137,-71.15532953,"(42.3557137, -71.15532953)"
I162007176,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B2,321,,01/27/2016 11:13:00 AM,11,2016,1,Wednesday,Other,ELM HILL PARK,42.31282634,-71.08335844,"(42.31282634, -71.08335844)"
I162072457,00613,Larceny,LARCENY SHOPLIFTING,D4,143,,09/05/2016 07:40:00 PM,19,2016,9,Monday,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I162039964,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A7,24,,05/11/2016 08:56:00 AM,8,2016,5,Wednesday,Part One,TRENTON ST,42.37887838,-71.03643423,"(42.37887838, -71.03643423)"
I162057970,00423,Aggravated Assault,ASSAULT - AGGRAVATED,E13,607,,07/20/2016 11:52:00 PM,23,2016,7,Wednesday,Part One,ARCOLA ST,42.32470968,-71.10880411,"(42.32470968, -71.10880411)"
I162015976,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,911,,02/29/2016 08:05:00 AM,8,2016,2,Monday,Part One,ANNUNCIATION RD,42.33506218,-71.09316781,"(42.33506218, -71.09316781)"
I162079885,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,318,,09/29/2016 06:46:00 PM,18,2016,9,Thursday,Part One,BROOKLEDGE ST,42.30956305,-71.08990197,"(42.30956305, -71.08990197)"
I162006525,00541,Commercial Burglary,BURGLARY - COMMERICAL - ATTEMPT,A1,108,,01/23/2016 10:30:00 AM,10,2016,1,Saturday,Part One,PEARL ST,42.35488211,-71.05369166,"(42.35488211, -71.05369166)"
I162060387,00617,Larceny,LARCENY THEFT FROM BUILDING,E13,912,,07/28/2016 04:11:00 PM,16,2016,7,Thursday,Part One,LAMARTINE ST,42.32214915,-71.10091019,"(42.32214915, -71.10091019)"
I162058131,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,164,,07/21/2016 11:33:00 AM,11,2016,7,Thursday,Part One,WASHINGTON ST,42.3425571,-71.067378,"(42.3425571, -71.067378)"
I162063702,00616,Larceny,LARCENY THEFT OF BICYCLE,D4,142,,08/05/2016 07:15:00 AM,7,2016,8,Friday,Part One,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)"
I162067868,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,611,,08/21/2016 08:43:00 PM,20,2016,8,Sunday,Part One,RIVERWAY,42.33359101,-71.11175636,"(42.33359101, -71.11175636)"
I162047544,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3,,,06/15/2016 10:13:00 PM,22,2016,6,Wednesday,Other,,,,"(0E-8, 0E-8)"
I162019515,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,773,,03/12/2016 10:44:00 PM,22,2016,3,Saturday,Part One,FOSTER ST,42.340474,-71.1595293,"(42.340474, -71.1595293)"
I162048839,00617,Larceny,LARCENY THEFT FROM BUILDING,A1,97,,06/20/2016 10:10:00 AM,10,2016,6,Monday,Part One,TREMONT ST,42.35907171,-71.05973044,"(42.35907171, -71.05973044)"
I162071004,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,B2,329,,08/31/2016 09:21:00 PM,21,2016,8,Wednesday,Part One,DEVON ST,42.30812619,-71.07692974,"(42.30812619, -71.07692974)"
I162027559,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,,,04/09/2016 06:08:00 PM,18,2016,4,Saturday,Part One,,,,"(0E-8, 0E-8)"
I162070196,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,100,,08/29/2016 01:42:00 PM,13,2016,8,Monday,Part One,WATER ST,42.35814629,-71.05464996,"(42.35814629, -71.05464996)"
I162010774,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,820,,02/09/2016 07:45:00 PM,19,2016,2,Tuesday,Part One,CAMBRIDGE ST,42.35602999,-71.13132737,"(42.35602999, -71.13132737)"
I162002009,00724,Auto Theft,AUTO THEFT,E18,531,,01/07/2016 08:30:00 PM,20,2016,1,Thursday,Part One,BUCKINGHAM ST,42.24171455,-71.13413382,"(42.24171455, -71.13413382)"
I162058703,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,120,,07/23/2016 11:37:00 AM,11,2016,7,Saturday,Part One,PARK PLZ,42.35143483,-71.06969334,"(42.35143483, -71.06969334)"
I162071809,00616,Larceny,LARCENY THEFT OF BICYCLE,A15,38,,09/02/2016 05:00:00 PM,17,2016,9,Friday,Part One,THIRD AVE,42.37560402,-71.05490071,"(42.37560402, -71.05490071)"
I162055187,00617,Larceny,LARCENY THEFT FROM BUILDING,E5,,,06/25/2016 05:00:00 PM,17,2016,6,Saturday,Part One,,,,"(0E-8, 0E-8)"
I162015790,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,365,,02/28/2016 11:55:00 AM,11,2016,2,Sunday,Part One,KING ST,42.29207443,-71.06149929,"(42.29207443, -71.06149929)"
I162071717,00616,Larceny,LARCENY THEFT OF BICYCLE,,,,09/02/2016 05:30:00 PM,17,2016,9,Friday,Part One,,42.35011219,-71.0773153,"(42.35011219, -71.0773153)"
I162039007,00301,Robbery,ROBBERY - STREET,D4,619,,05/16/2016 11:35:00 PM,23,2016,5,Monday,Part One,WESTLAND AVE,42.34376458,-71.08866865,"(42.34376458, -71.08866865)"
I162077894,00724,Auto Theft,AUTO THEFT,E18,542,,09/17/2016 06:00:00 PM,18,2016,9,Saturday,Part One,RIVER ST,42.25477484,-71.12838562,"(42.25477484, -71.12838562)"
I162080983,00619,Larceny,LARCENY ALL OTHERS,E13,581,,10/03/2016 05:26:00 PM,17,2016,10,Monday,Part One,BICKFORD ST,42.32483301,-71.10164757,"(42.32483301, -71.10164757)"
I162007819,00617,Larceny,LARCENY THEFT FROM BUILDING,D14,799,,01/29/2016 10:00:00 AM,10,2016,1,Friday,Part One,GARDNER ST,42.35358822,-71.12689571,"(42.35358822, -71.12689571)"
I162016908,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E18,516,,03/03/2016 09:45:00 AM,9,2016,3,Thursday,Part One,TRUMAN PKWY,42.25044024,-71.12184759,"(42.25044024, -71.12184759)"
I162050932,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,117,,06/27/2016 03:44:00 AM,3,2016,6,Monday,Part One,LAGRANGE ST,42.35167898,-71.06472472,"(42.35167898, -71.06472472)"
I162070879,00617,Larceny,LARCENY THEFT FROM BUILDING,D4,618,,08/23/2016 11:30:00 AM,11,2016,8,Tuesday,Part One,FENWAY,42.34227908,-71.09152151,"(42.34227908, -71.09152151)"
I162057618,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E13,640,,07/19/2016 05:30:00 PM,17,2016,7,Tuesday,Part One,LAMARTINE ST,42.31177654,-71.10849011,"(42.31177654, -71.10849011)"
I162044213,00618,Larceny,LARCENY THEFT FROM COIN-OP MACHINE,C11,949,,06/05/2016 08:43:00 AM,8,2016,6,Sunday,Part One,BOWDOIN ST,42.30839354,-71.06473124,"(42.30839354, -71.06473124)"
I162077516,00423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,329,,09/22/2016 09:47:00 AM,9,2016,9,Thursday,Part One,WASHINGTON ST,42.30576686,-71.08097517,"(42.30576686, -71.08097517)"
I162016463,00724,Auto Theft,AUTO THEFT,E18,535,,03/01/2016 01:00:00 AM,1,2016,3,Tuesday,Part One,WHARTON CT,42.25114037,-71.14229923,"(42.25114037, -71.14229923)"
I162003483,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E18,542,,01/07/2016 11:30:00 AM,11,2016,1,Thursday,Part One,RIVER ST,42.25258881,-71.13053356,"(42.25258881, -71.13053356)"
I162024315,00617,Larceny,LARCENY THEFT FROM BUILDING,A1,117,,03/29/2016 06:56:00 PM,18,2016,3,Tuesday,Part One,TREMONT ST,42.35202343,-71.06463445,"(42.35202343, -71.06463445)"
I162072179,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,86,,09/04/2016 06:53:00 PM,18,2016,9,Sunday,Part One,SALEM ST,42.36423881,-71.05556016,"(42.36423881, -71.05556016)"
I162002605,00724,Auto Theft,AUTO THEFT,D14,752,,01/10/2016 12:20:00 AM,0,2016,1,Sunday,Part One,LANGLEY RD,42.34936718,-71.16554188,"(42.34936718, -71.16554188)"
I162002804,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,132,,01/11/2016 08:24:00 AM,8,2016,1,Monday,Part One,COMMONWEALTH AVE,42.35291291,-71.07508901,"(42.35291291, -71.07508901)"
I162042081,00617,Larceny,LARCENY THEFT FROM BUILDING,C6,216,,05/29/2016 12:07:00 PM,12,2016,5,Sunday,Part One,EARL ST,42.33420086,-71.05426797,"(42.33420086, -71.05426797)"
I162050880,00613,Larceny,LARCENY SHOPLIFTING,A1,111,,06/26/2016 09:52:00 PM,21,2016,6,Sunday,Part One,WASHINGTON ST,42.35272948,-71.06256291,"(42.35272948, -71.06256291)"
I162076852,00724,Auto Theft,AUTO THEFT,E13,571,,09/20/2016 06:00:00 AM,6,2016,9,Tuesday,Part One,FOREST HILLS ST,42.31078949,-71.10224589,"(42.31078949, -71.10224589)"
I162043332,00423,Aggravated Assault,ASSAULT - AGGRAVATED,C6,186,,06/02/2016 01:27:00 PM,13,2016,6,Thursday,Part One,ALLSTATE RD,42.32696647,-71.06198607,"(42.32696647, -71.06198607)"
I162011180,00617,Larceny,LARCENY THEFT FROM BUILDING,D4,597,,02/06/2016 12:00:00 PM,12,2016,2,Saturday,Part One,TREMONT ST,42.33871587,-71.08152167,"(42.33871587, -71.08152167)"
I162068725,00423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,316,,08/24/2016 01:03:00 PM,13,2016,8,Wednesday,Part One,HOMESTEAD ST,42.31342215,-71.09348975,"(42.31342215, -71.09348975)"
I162057761,00613,Larceny,LARCENY SHOPLIFTING,D4,128,,07/20/2016 10:17:00 AM,10,2016,7,Wednesday,Part One,CLARENDON ST,42.34854636,-71.07416609,"(42.34854636, -71.07416609)"
I162067346,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,238,Y,08/20/2016 12:05:00 AM,0,2016,8,Saturday,Part One,DUDLEY TER,42.31814836,-71.06708346,"(42.31814836, -71.06708346)"
I162038770,00613,Larceny,LARCENY SHOPLIFTING,D4,147,,05/18/2016 12:22:00 PM,12,2016,5,Wednesday,Part One,COLUMBUS AVE,42.34087158,-71.08145768,"(42.34087158, -71.08145768)"
I162025019,00301,Robbery,ROBBERY - STREET,B2,588,,03/31/2016 09:48:00 PM,21,2016,3,Thursday,Part One,PARKER ST,42.33226842,-71.09674843,"(42.33226842, -71.09674843)"
I162048464,00619,Larceny,LARCENY ALL OTHERS,B3,565,,06/18/2016 04:15:00 PM,16,2016,6,Saturday,Part One,MORTON ST,42.29250268,-71.09600758,"(42.29250268, -71.09600758)"
I162022335,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,63,,03/21/2016 07:01:00 PM,19,2016,3,Monday,Part One,LOMASNEY WAY,42.36464106,-71.06385015,"(42.36464106, -71.06385015)"
I162033504,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,193,,04/30/2016 12:44:00 PM,12,2016,4,Saturday,Part One,PREBLE ST,42.32945117,-71.05665934,"(42.32945117, -71.05665934)"
I162079813,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,117,,09/24/2016 08:00:00 PM,20,2016,9,Saturday,Part One,BEACH ST,42.35152813,-71.06248241,"(42.35152813, -71.06248241)"
I162069940,00613,Larceny,LARCENY SHOPLIFTING,E18,496,,08/28/2016 04:08:00 PM,16,2016,8,Sunday,Part One,HYDE PARK AVE,42.26701085,-71.12096171,"(42.26701085, -71.12096171)"
I162006197,00613,Larceny,LARCENY SHOPLIFTING,D4,130,,01/21/2016 07:48:00 PM,19,2016,1,Thursday,Part One,HUNTINGTON AVE,42.3479724,-71.07849582,"(42.3479724, -71.07849582)"
I162079102,00613,Larceny,LARCENY SHOPLIFTING,A7,26,,09/27/2016 12:09:00 PM,12,2016,9,Tuesday,Part One,BORDER ST,42.37620267,-71.03979926,"(42.37620267, -71.03979926)"
I162034518,00540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,B3,441,,05/04/2016 12:54:00 AM,0,2016,5,Wednesday,Part One,NIGHTINGALE ST,42.29474312,-71.08503786,"(42.29474312, -71.08503786)"
I162069445,00617,Larceny,LARCENY THEFT FROM BUILDING,A1,,,08/26/2016 11:07:00 PM,23,2016,8,Friday,Part One,,,,"(0E-8, 0E-8)"
I162043814,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,C6,914,,06/03/2016 10:09:00 PM,22,2016,6,Friday,Part One,HENRY STERLING SQ,42.32648547,-71.05487817,"(42.32648547, -71.05487817)"
I162015315,00613,Larceny,LARCENY SHOPLIFTING,A1,104,,02/26/2016 05:24:00 PM,17,2016,2,Friday,Part One,WASHINGTON ST,42.35648631,-71.05928145,"(42.35648631, -71.05928145)"
I162074398,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,189,,09/12/2016 01:00:00 AM,1,2016,9,Monday,Part One,DORCHESTER AVE,42.32339346,-71.05682397,"(42.32339346, -71.05682397)"
I162021414,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,252,,03/03/2016 05:00:00 PM,17,2016,3,Thursday,Part One,BAYSIDE ST,42.30906556,-71.05024351,"(42.30906556, -71.05024351)"
I162041360,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,453,,05/26/2016 09:49:00 PM,21,2016,5,Thursday,Part One,ALGONQUIN ST,42.29742411,-71.07531358,"(42.29742411, -71.07531358)"
I162031567,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,94,,04/23/2016 06:53:00 PM,18,2016,4,Saturday,Part One,CLINTON ST,42.36067984,-71.05482325,"(42.36067984, -71.05482325)"
I162037504,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,800,,05/13/2016 10:45:00 PM,22,2016,5,Friday,Part One,PRATT ST,42.35501072,-71.12887911,"(42.35501072, -71.12887911)"
I162021550,00361,Robbery,ROBBERY - OTHER,C6,936,,03/19/2016 05:00:00 PM,17,2016,3,Saturday,Part One,B ST,42.339621,-71.05533044,"(42.339621, -71.05533044)"
I162036267,00540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,A15,60,,05/09/2016 07:00:00 PM,19,2016,5,Monday,Part One,CITY SQ,42.37211025,-71.06178707,"(42.37211025, -71.06178707)"
I162037048,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),C11,332,,05/12/2016 01:46:00 PM,13,2016,5,Thursday,Other,GLENDALE ST,42.31288478,-71.06698234,"(42.31288478, -71.06698234)"
I162007096,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C6,214,,01/26/2016 07:10:00 PM,19,2016,1,Tuesday,Part One,DORCHESTER ST,42.33535781,-71.04590903,"(42.33535781, -71.04590903)"
I162046440,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,285,,06/12/2016 03:36:00 PM,15,2016,6,Sunday,Part One,COVENTRY ST,42.33695098,-71.08574813,"(42.33695098, -71.08574813)"
I162061212,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),A7,2,,07/31/2016 11:44:00 AM,11,2016,7,Sunday,Other,FAYWOOD AVE,42.39112008,-71.00229699,"(42.39112008, -71.00229699)"
I162019411,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,,,03/12/2016 04:55:00 PM,16,2016,3,Saturday,Part One,,,,"(0E-8, 0E-8)"
I162048989,00619,Larceny,LARCENY ALL OTHERS,A15,50,,06/20/2016 05:25:00 PM,17,2016,6,Monday,Part One,AUSTIN ST,42.37360052,-71.06944379,"(42.37360052, -71.06944379)"
I162028813,00724,Auto Theft,AUTO THEFT,B2,331,,04/13/2016 09:32:00 PM,21,2016,4,Wednesday,Part One,SAYWARD ST,42.31397948,-71.0686658,"(42.31397948, -71.0686658)"
I162049379,00617,Larceny,LARCENY THEFT FROM BUILDING,A7,12,,06/21/2016 07:00:00 PM,19,2016,6,Tuesday,Part One,SARATOGA ST,42.3850465,-71.01374142,"(42.3850465, -71.01374142)"
I162050874,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,823,,06/26/2016 09:18:00 PM,21,2016,6,Sunday,Part One,GREENMOUNT ST,42.31054308,-71.05958278,"(42.31054308, -71.05958278)"
I162056993,00423,Aggravated Assault,ASSAULT - AGGRAVATED,E13,582,,07/17/2016 07:54:00 PM,19,2016,7,Sunday,Part One,CREIGHTON ST,42.32348445,-71.10813006,"(42.32348445, -71.10813006)"
I162052726,00613,Larceny,LARCENY SHOPLIFTING,B2,329,,07/03/2016 08:47:00 AM,8,2016,7,Sunday,Part One,BLUE HILL AVE,42.30896999,-71.08284839,"(42.30896999, -71.08284839)"
I162020190,00613,Larceny,LARCENY SHOPLIFTING,E5,680,,03/15/2016 11:41:00 AM,11,2016,3,Tuesday,Part One,CORINTH ST,42.28636893,-71.13005503,"(42.28636893, -71.13005503)"
I162041533,00616,Larceny,LARCENY THEFT OF BICYCLE,A15,58,,04/09/2016 12:00:00 AM,0,2016,4,Saturday,Part One,W SCHOOL ST,42.37544927,-71.06710639,"(42.37544927, -71.06710639)"
I162018610,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,406,,03/09/2016 07:11:00 PM,19,2016,3,Wednesday,Part One,RIVER ST,42.27130225,-71.07442362,"(42.27130225, -71.07442362)"
I162068735,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A15,50,,08/24/2016 02:09:00 PM,14,2016,8,Wednesday,Part One,RUTHERFORD AVE,42.37366347,-71.06473601,"(42.37366347, -71.06473601)"
I162015351,00724,Auto Theft,AUTO THEFT,E18,521,,02/26/2016 09:30:00 PM,21,2016,2,Friday,Part One,RIVER ST,42.25592648,-71.12317207,"(42.25592648, -71.12317207)"
I162020098,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C11,249,,03/15/2016 02:46:39 AM,2,2016,3,Tuesday,Part One,TUTTLE ST,42.31351886,-71.053563,"(42.31351886, -71.053563)"
I162048319,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,132,,06/18/2016 02:28:00 AM,2,2016,6,Saturday,Part One,COMMONWEALTH AVE,42.35352153,-71.07283786,"(42.35352153, -71.07283786)"
I162062483,00616,Larceny,LARCENY THEFT OF BICYCLE,D4,628,,08/04/2016 12:00:00 PM,12,2016,8,Thursday,Part One,PARK DR,42.34416701,-71.10359107,"(42.34416701, -71.10359107)"
I162067590,00613,Larceny,LARCENY SHOPLIFTING,A1,105,,08/20/2016 08:32:00 PM,20,2016,8,Saturday,Part One,SUMMER ST,42.35521625,-71.06012863,"(42.35521625, -71.06012863)"
I162060858,00617,Larceny,LARCENY THEFT FROM BUILDING,C11,345,,07/30/2016 06:06:00 AM,6,2016,7,Saturday,Part One,DRAPER ST,42.30287064,-71.06399249,"(42.30287064, -71.06399249)"
I162006073,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,D4,167,,01/23/2016 12:47:00 AM,0,2016,1,Saturday,Part One,HARRISON AVE,42.33954199,-71.06940877,"(42.33954199, -71.06940877)"
I162028888,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A15,56,,04/13/2016 11:30:00 AM,11,2016,4,Wednesday,Part One,TRENTON ST,42.37797335,-71.06168686,"(42.37797335, -71.06168686)"
I162006354,00616,Larceny,LARCENY THEFT OF BICYCLE,E13,579,,01/21/2016 05:00:00 PM,17,2016,1,Thursday,Part One,CHESTNUT AVE,42.32093932,-71.1029362,"(42.32093932, -71.1029362)"
I162023720,00617,Larceny,LARCENY THEFT FROM BUILDING,A1,61,,03/27/2016 05:03:00 PM,17,2016,3,Sunday,Part One,NASHUA ST,42.36600842,-71.06403504,"(42.36600842, -71.06403504)"
I162017155,00617,Larceny,LARCENY THEFT FROM BUILDING,D4,166,,03/04/2016 12:40:00 PM,12,2016,3,Friday,Part One,SHAWMUT AVE,42.34107714,-71.0723957,"(42.34107714, -71.0723957)"
I162046563,00521,Residential Burglary,BURGLARY - RESIDENTIAL - ATTEMPT,E18,480,,06/13/2016 02:44:00 AM,2,2016,6,Monday,Part One,FAIRLAWN AVE,42.26788791,-71.10067012,"(42.26788791, -71.10067012)"
I162045404,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E13,649,,06/09/2016 03:09:00 AM,3,2016,6,Thursday,Part One,SOUTH ST,42.3071412,-71.11538005,"(42.3071412, -71.11538005)"
I162066265,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B3,417,Y,08/16/2016 04:29:00 PM,16,2016,8,Tuesday,Part One,STOCKTON ST,42.28265604,-71.07374541,"(42.28265604, -71.07374541)"
I162017510,00619,Larceny,LARCENY ALL OTHERS,C6,186,,03/05/2016 05:55:00 PM,17,2016,3,Saturday,Part One,BOSTON ST,42.32692112,-71.05841861,"(42.32692112, -71.05841861)"
I162047785,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E18,498,,06/16/2016 02:57:00 PM,14,2016,6,Thursday,Part One,BRADLEE ST,42.27161708,-71.11807468,"(42.27161708, -71.11807468)"
I162023414,00423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,329,,03/26/2016 10:30:00 AM,10,2016,3,Saturday,Part One,STANWOOD ST,42.30870132,-71.07932755,"(42.30870132, -71.07932755)"
I162010468,00619,Larceny,LARCENY ALL OTHERS,C11,254,,02/08/2016 12:51:00 PM,12,2016,2,Monday,Part One,SAVIN HILL AVE,42.3117771,-71.0540209,"(42.3117771, -71.0540209)"
I162063024,00613,Larceny,LARCENY SHOPLIFTING,B2,329,,08/02/2016 09:42:00 AM,9,2016,8,Tuesday,Part One,BLUE HILL AVE,42.30896999,-71.08284839,"(42.30896999, -71.08284839)"
I162066883,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,268,,08/18/2016 02:57:00 PM,14,2016,8,Thursday,Part One,DUDLEY ST,42.32832264,-71.07861091,"(42.32832264, -71.07861091)"
I162015330,00617,Larceny,LARCENY THEFT FROM BUILDING,E5,723,,02/26/2016 07:41:00 PM,19,2016,2,Friday,Part One,VFW PKWY,42.26623736,-71.16843346,"(42.26623736, -71.16843346)"
I162048161,00619,Larceny,LARCENY ALL OTHERS,C11,450,,06/16/2016 03:30:00 PM,15,2016,6,Thursday,Part One,WASHINGTON ST,42.29360585,-71.0718865,"(42.29360585, -71.0718865)"
I162051371,00619,Larceny,LARCENY ALL OTHERS,A1,119,,06/28/2016 06:03:00 PM,18,2016,6,Tuesday,Part One,BEACON ST,42.35715749,-71.06506539,"(42.35715749, -71.06506539)"
I162037621,00613,Larceny,LARCENY SHOPLIFTING,E13,645,,05/14/2016 12:31:00 PM,12,2016,5,Saturday,Part One,CENTRE ST,42.31193403,-71.1142909,"(42.31193403, -71.1142909)"
I162048183,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,C11,337,,06/17/2016 05:21:00 PM,17,2016,6,Friday,Part One,EVERTON ST,42.30481467,-71.07218295,"(42.30481467, -71.07218295)"
I162047975,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E13,578,,06/16/2016 09:00:00 PM,21,2016,6,Thursday,Part One,SHERIDAN ST,42.32008171,-71.10663225,"(42.32008171, -71.10663225)"
I162069794,00301,Robbery,ROBBERY - STREET,A1,95,,08/28/2016 02:52:00 AM,2,2016,8,Sunday,Part One,STATE ST,42.35961316,-71.05195809,"(42.35961316, -71.05195809)"
I162039250,00301,Robbery,ROBBERY - STREET,A1,124,,05/19/2016 05:45:00 PM,17,2016,5,Thursday,Part One,HUDSON ST,42.34725924,-71.06177039,"(42.34725924, -71.06177039)"
I162008009,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,A1,111,,01/30/2016 09:25:00 AM,9,2016,1,Saturday,Part One,TREMONT ST,42.35260187,-71.06448146,"(42.35260187, -71.06448146)"
I162000975,00613,Larceny,LARCENY SHOPLIFTING,C11,450,,01/04/2016 01:54:00 PM,13,2016,1,Monday,Part One,WASHINGTON ST,42.29131613,-71.07170293,"(42.29131613, -71.07170293)"
I162029391,00301,Robbery,ROBBERY - STREET,B3,472,,04/15/2016 09:44:00 PM,21,2016,4,Friday,Part One,ALMONT ST,42.2752767,-71.09554245,"(42.2752767, -71.09554245)"
